Domain,Dimension,Component,Metric,Metric Description,hyperlink,BibTeX
Interaction,Traceability,Attribution,Attributable to Identified Sources (AIS),"AIS quantifies what fraction of a model’s output can be directly traced to, and supported by, the provided source documents.",https://mitp.silverchair-cdn.com/mitp/content_public/journal/coli/49/4/10.1162_coli_a_00486/2/coli_a_00486.pdf?Expires=1773784019&Signature=2zzxB6JzFxa0IUX04POWDeFM8nVEnH6Yu~LIgPss-vbbdl7AnaKcd4f2L9zC0sJJCpHaudIKV-DM9oUWJnURaESQvjJdwCnhQleQNKZH0~JTJw5OFpQN75AVf7QpcyjRQpGPxG1tmTeyMJF4thTUsjqGlkfVXuziZQUVkIXw9FB7EZMwVdbWZqIGMtDtkq4Q7QGtYKB1y-acKeAlFvaBEphkCuHZBtNHPg7DvfP9j4B50hSwsiZj~a77TGf6zXfEGv~Uh1Gl4IqyzYI5rs5e9W7ZOvLk~hYf1Ktvfx3SL-Zi196QFDorp0zLElhCykDcJf5W1ovKcLOcxGdJ777fzA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,"@article{rashkin2023measuring,
  title={Measuring attribution in natural language generation models},
  author={Rashkin, Hannah and Nikolaev, Vitaly and Lamm, Matthew and Aroyo, Lora and Collins, Michael and Das, Dipanjan and Petrov, Slav and Tomar, Gaurav Singh and Turc, Iulia and Reitter, David},
  journal={Computational Linguistics},
  volume={49},
  number={4},
  pages={777--840},
  year={2023}
}"
Interaction,Traceability,Chain of Reasoning,REVEAL: Reasoning Verification Evaluation,"REVEAL is a benchmark dataset for verifying chain-of-thought reasoning that provides step-level labels indicating whether each reasoning step is relevant, supported by evidence, and logically correct.",https://arxiv.org/pdf/2402.00559,"@inproceedings{jacovi2024chain,
  title={A chain-of-thought is as strong as its weakest link: A benchmark for verifiers of reasoning chains},
  author={Jacovi, Alon and Bitton, Yonatan and Bohnet, Bernd and Herzig, Jonathan and Honovich, Or and Tseng, Michael and Collins, Michael and Aharoni, Roee and Geva, Mor},
  booktitle={Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)},
  pages={4615--4634},
  year={2024}
}"
Operations,Cost,Infrastructure,Infrastructure Cost Metric,"NVIDIA operationalizes LLM infrastructure cost as total cost of ownership (TCO) for inference, combining the end-to-end serving stack costs (e.g., GPU hardware/instances plus supporting system costs) and often reporting it as an amortized cost per unit of inference work (e.g., per token or per throughput level).",https://developer.nvidia.com/blog/llm-inference-benchmarking-how-much-does-your-llm-inference-cost/?utm_source=chatgpt.com,
Operations,Cost,Infrastructure,TokenPowerBench,"TokenPowerBench is a benchmarking framework for systematically measuring and analyzing the power consumption and energy efficiency of large language model inference across different models, hardware, and configurations to help optimize costs and sustainability. ",https://arxiv.org/pdf/2512.03024,"@article{niu2025tokenpowerbench,
  title={TokenPowerBench: Benchmarking the Power Consumption of LLM Inference},
  author={Niu, Chenxu and Zhang, Wei and Li, Jie and Zhao, Yongjian and Wang, Tongyang and Wang, Xi and Chen, Yong},
  journal={arXiv preprint arXiv:2512.03024},
  year={2025}
}"
Operations,Cost,Usage,CEBench,"CEBench evaluates LLM pipelines by converting their measured compute usage into an estimated $ cost per run, so you can compare performance against real operational cost.",https://arxiv.org/pdf/2407.12797,"@article{sun2024cebench,
  title={Cebench: A benchmarking toolkit for the cost-effectiveness of llm pipelines},
  author={Sun, Wenbo and Wang, Jiaqi and Guo, Qiming and Li, Ziyu and Wang, Wenlu and Hai, Rihan},
  journal={arXiv preprint arXiv:2407.12797},
  year={2024}
}"
Operations,Efficiency,Speed,Time to First Token (TTFT) and Inter-token Latency (ITL),"Time to First Token (TTFT) measures the delay from request start to the first generated token, while Inter-Token Latency (ITL) measures the time between subsequent tokens during decoding, and together they capture both the startup latency and the streaming generation speed needed to evaluate LLM responsiveness.",https://docs.nvidia.com/nim/benchmarking/llm/latest/metrics.html?utm_source=chatgpt.com,
Operations,Efficiency,Concurrency,Smooth Goodput,"Smooth Goodput measures how many LLM requests per second meet streaming latency targets in a way that reflects real user experience, without being inflated by tricks like delaying tokens or dropping slow requests.",https://arxiv.org/pdf/2410.14257,"@article{wang2024revisiting,
  title={Revisiting Service Level Objectives and System Level Metrics in Large Language Model Serving},
  author={Wang, Zhibin and Li, Shipeng and Zhou, Yuhang and Li, Xue and Zhang, Zhonghui and Cam-Tu, Nguyen and Gu, Rong and Tian, Chen and Chen, Guihai and Zhong, Sheng},
  journal={arXiv preprint arXiv:2410.14257},
  year={2024}
}"
Governance,Policy Enforcement,System,JailBreakV,"JailBreakV introduces a large-scale benchmark that tests multimodal LLM safety by measuring how well text- and image-based jailbreak attacks (including transfers from LLM jailbreaks) can bypass safeguards, typically reported via Attack Success Rate (ASR) across diverse adversarial scenarios.",https://arxiv.org/pdf/2404.03027,"@article{luo2024jailbreakv,
  title={Jailbreakv: A benchmark for assessing the robustness of multimodal large language models against jailbreak attacks},
  author={Luo, Weidi and Ma, Siyuan and Liu, Xiaogeng and Guo, Xiaoyu and Xiao, Chaowei},
  journal={arXiv preprint arXiv:2404.03027},
  year={2024}
}"
Governance,Policy Enforcement,System,SORRY-Bench,"SORRY-Bench is a balanced, fine-grained benchmark that measures an LLM’s safety-refusal behavior by testing whether it refuses vs. fulfills unsafe instructions across 44–45 unsafe topic categories and diverse prompt augmentations, with human annotations and an efficient automated evaluator to score refusals.",https://arxiv.org/pdf/2406.14598,"@article{xie2024sorry,
  title={Sorry-bench: Systematically evaluating large language model safety refusal},
  author={Xie, Tinghao and Qi, Xiangyu and Zeng, Yi and Huang, Yangsibo and Sehwag, Udari Madhushani and Huang, Kaixuan and He, Luxi and Wei, Boyi and Li, Dacheng and Sheng, Ying and others},
  journal={arXiv preprint arXiv:2406.14598},
  year={2024}
}"
Governance,Policy Enforcement,System,HarmMetric,"HarmMetric introduces a benchmark dataset and scoring framework for evaluating harmfulness metrics and LLM-based judges on harmful prompts paired with diverse harmful/non-harmful responses, and it finds that simple overlap metrics like METEOR and ROUGE-1 can outperform LLM judges at assessing harmfulness.",https://arxiv.org/pdf/2509.24384,"@article{yang2025harmmetric,
  title={HarmMetric Eval: Benchmarking Metrics and Judges for LLM Harmfulness Assessment},
  author={Yang, Langqi and Zheng, Tianhang and Xiu, Kedong and Chen, Yixuan and Wang, Di and Zhao, Puning and Qin, Zhan and Ren, Kui},
  journal={arXiv preprint arXiv:2509.24384},
  year={2025}
}"
Governance,Policy Enforcement,Ethical,RealToxicityPrompts,"RealToxicityPrompts measures a model’s tendency to generate toxic language by having it continue naturally occurring prompts and scoring the generations with the Perspective API toxicity score, typically reported as mean toxicity and/or the rate of outputs above a toxicity threshold.",https://arxiv.org/pdf/2009.11462,"@inproceedings{gehman2020realtoxicityprompts,
  title={Realtoxicityprompts: Evaluating neural toxic degeneration in language models},
  author={Gehman, Samuel and Gururangan, Suchin and Sap, Maarten and Choi, Yejin and Smith, Noah A},
  booktitle={Findings of the association for computational linguistics: EMNLP 2020},
  pages={3356--3369},
  year={2020}
}"
Governance,Policy Enforcement,Legal,KL-extractability,KL-extractability (as used in practice) measures verbatim memorization by prompting a model with a prefix from a target sequence and scoring how many tokens of the true continuation the model reproduces under greedy decoding,https://openreview.net/pdf?id=TatRHT_1cK,"@inproceedings{carlini2022quantifying,
  title={Quantifying memorization across neural language models},
  author={Carlini, Nicholas and Ippolito, Daphne and Jagielski, Matthew and Lee, Katherine and Tramer, Florian and Zhang, Chiyuan},
  booktitle={The Eleventh International Conference on Learning Representations},
  year={2022}
}"
Governance,Security,Privacy,PII-Scope,"PII-Scope introduces a benchmark and evaluation framework for measuring training-data PII leakage in LLMs by running standardized PII extraction attacks across multiple threat settings and reporting extraction/leakage effectiveness (e.g., success rates) by PII type.",https://arxiv.org/pdf/2410.06704,"@article{nakka2024pii,
  title={PII-Scope: A Comprehensive Study on Training Data PII Extraction Attacks in LLMs},
  author={Nakka, Krishna Kanth and Frikha, Ahmed and Mendes, Ricardo and Jiang, Xue and Zhou, Xuebing},
  journal={arXiv preprint arXiv:2410.06704},
  year={2024}
}"
Governance,Security,Statefulness,PersistBench,"PersistBench is a benchmark for memory-enabled LLM assistants that tests whether stored memories are used appropriately over time, measuring failure cases like cross-domain leakage (irrelevant memories showing up in answers) and reporting how often they happen.",https://arxiv.org/pdf/2602.01146,"@article{pulipaka2026persistbench,
  title={PersistBench: When Should Long-Term Memories Be Forgotten by LLMs?},
  author={Pulipaka, Sidharth and Chen, Oliver and Sharma, Manas and Bajwa, Taaha S and Raina, Vyas and Sheth, Ivaxi},
  journal={arXiv preprint arXiv:2602.01146},
  year={2026}
}"
